citing_id,cited_id
arxiv:0704.0213,arxiv:cs/0612134
arxiv:0704.1678,arxiv:quant-ph/0505185
arxiv:0705.1129,arxiv:cs/9901015
arxiv:0705.1129,arxiv:quant-ph/0511020
arxiv:0705.1446,doi:10.1145/502090.502097
arxiv:0709.4118,doi:10.1145/177492.177725
arxiv:0709.4118,doi:10.1145/186025.186051
arxiv:0711.3715,arxiv:0712.2163
arxiv:0711.3715,arxiv:cs/0102013
arxiv:0711.3715,arxiv:cs/9901015
arxiv:0711.3715,doi:10.1007/11672142_12
arxiv:0712.2163,arxiv:cs/0102013
arxiv:0801.3408,arxiv:0705.3751
arxiv:0801.4777,doi:10.1016/0022-0000(92)90047-m
arxiv:0804.3401,arxiv:cs/0102013
arxiv:0804.3401,arxiv:cs/9901015
arxiv:0804.3401,arxiv:quant-ph/0504075
arxiv:0804.3401,doi:10.1007/11672142_12
arxiv:0804.3401,doi:10.1137/s0097539796302531
arxiv:0804.3401,doi:10.4086/toc.2005.v001a001
arxiv:0805.0498,doi:10.1145/322033.322037
arxiv:0806.1746,arxiv:quant-ph/0301023
arxiv:0806.1746,arxiv:quant-ph/0606140
arxiv:0806.1746,doi:10.1063/1.2748377
arxiv:0806.3437,arxiv:quant-ph/0603034
arxiv:0806.3982,arxiv:0712.2163
arxiv:0809.2093,arxiv:cs/9910010
arxiv:0809.2093,doi:10.1070/im2003v067n01abeh000422
arxiv:0809.3140,doi:10.1145/200836.200838
arxiv:0810.0693,arxiv:0711.3715
arxiv:0810.0693,arxiv:0712.2163
arxiv:0810.0693,arxiv:cs/0102013
arxiv:0810.0693,doi:10.1137/s0097539796302531
arxiv:0810.5516,doi:10.1145/333979.333987
arxiv:0902.1866,doi:10.1145/28395.28404
arxiv:0902.2146,arxiv:1005.1601
arxiv:0902.2146,doi:10.1007/s00037-006-0212-7
arxiv:0902.2146,doi:10.1145/1250790.1250867
arxiv:0902.2399,arxiv:cs/0309033
arxiv:0902.2399,arxiv:quant-ph/9804066
arxiv:0902.2399,doi:10.1070/im2003v067n01abeh000422
arxiv:0904.4709,doi:10.1145/876638.876643
arxiv:0905.1300,arxiv:0705.1129
arxiv:0905.1300,arxiv:0711.3715
arxiv:0905.1300,arxiv:cs/0102013
arxiv:0905.1300,arxiv:cs/9901015
arxiv:0905.1300,doi:10.1007/11672142_12
arxiv:0907.2072,doi:10.1145/1066100.1066102
arxiv:0907.2850,arxiv:1011.1350
arxiv:0907.2850,arxiv:cs/0612134
arxiv:0907.2850,doi:10.1007/s00037-009-0279-z
arxiv:0907.2850,doi:10.1016/j.aim.2011.04.012
arxiv:0907.2850,doi:10.1016/j.jalgebra.2010.10.031
arxiv:0907.4573,arxiv:0907.5427
arxiv:0907.4737,arxiv:cs/0102013
arxiv:0907.5495,doi:10.1016/s0022-0000(75)80050-x
arxiv:0908.2363,arxiv:0712.2163
arxiv:0908.2363,arxiv:0810.0693
arxiv:0908.2363,arxiv:0905.1300
arxiv:0908.2363,arxiv:0907.4737
arxiv:0908.2363,arxiv:cs/0102013
arxiv:0908.2363,arxiv:cs/9901015
arxiv:0908.4453,arxiv:quant-ph/0703015
arxiv:0910.4266,arxiv:cs/0208006
arxiv:0910.4266,arxiv:quant-ph/0303138
arxiv:0910.4266,arxiv:quant-ph/0311189
arxiv:0910.4266,doi:10.1070/im2003v067n01abeh000422
arxiv:0910.4266,doi:10.1145/1250790.1250867
arxiv:0910.4266,doi:10.1145/502090.502097
arxiv:0912.0568,doi:10.1145/502090.502097
arxiv:0912.3162,doi:10.1145/258533.258590
arxiv:0912.5276,arxiv:0902.2399
arxiv:1002.3664,doi:10.1145/258533.258590
arxiv:1003.1443,arxiv:0710.0095
arxiv:1003.1443,doi:10.1016/0022-0000(92)90047-m
arxiv:1003.1443,doi:10.1070/im2003v067n01abeh000422
arxiv:1003.1443,doi:10.1145/502090.502097
arxiv:1003.3047,arxiv:0803.0661
arxiv:1003.3879,arxiv:0811.0037
arxiv:1003.3879,doi:10.1137/070690201
arxiv:1003.3879,doi:10.1145/1120582.1120584
arxiv:1004.0377,arxiv:cs/0504048
arxiv:1004.0377,arxiv:quant-ph/0311039
arxiv:1004.0377,arxiv:quant-ph/0504075
arxiv:1004.0377,doi:10.4086/toc.2005.v001a001
arxiv:1004.0803,doi:10.1137/070690201
arxiv:1004.0803,doi:10.1145/1120582.1120584
arxiv:1004.1434,doi:10.1145/502090.502097
arxiv:1004.3165,arxiv:cs/0111062
arxiv:1004.3165,arxiv:quant-ph/0303138
arxiv:1004.3165,doi:10.1109/tit.2007.896888
arxiv:1005.0644,arxiv:quant-ph/0511200
arxiv:1005.0644,doi:10.1145/258533.258590
arxiv:1005.1141,doi:10.1137/s0097539700376676
arxiv:1005.2848,arxiv:0907.5427
arxiv:1006.2063,arxiv:0704.1678
arxiv:1006.2063,arxiv:1102.2280
arxiv:1007.0391,doi:10.1137/070690201
arxiv:1007.2675,doi:10.1007/978-3-642-17458-2_26
arxiv:1009.3460,arxiv:0902.2399
arxiv:1009.3460,arxiv:0910.4266
arxiv:1009.3460,arxiv:cs/0208006
