id,citekey,doi,arxiv_id,title,authors,n_authors,year,venue,venue_short,venue_tier,cited_by_count,categories,n_categories,arxiv_categories,status,reason,priority,sources,discovered_via,snowball_depth,first_seen,url,pdf_url,abstract
arxiv:2603.09379,krinkin2026simple,,2603.09379,A Simple Constructive Bound on Circuit Size Change Under Truth Table Perturbation,Kirill Krinkin,1,2026,arXiv,arXiv,other,0,circuit-complexity; meta-complexity,2,cs.CC; cs.LO,candidate,,,arxiv,arxiv:minimum circuit size problem,0,2026-08-10,http://arxiv.org/abs/2603.09379v1,https://arxiv.org/pdf/2603.09379v1,"The observation that optimum circuit size changes by at most $O(n)$ under a one-point truth table perturbation is implicit in prior work on the Minimum Circuit Size Problem. This note states the bound explicitly for arbitrary fixed finite complete bases with unit-cost gates, extends it to general Hamming distance via a telescoping argument, and verifies it exhaustively at $n = 4$ in the AIG basis using SAT-derived exact circuit sizes for 220 of 222 NPN equivalence classes. Among 987 mutation edges, the maximum observed difference is $4 = n$, confirming the bound is tight at $n = 4$ for AIG."
arxiv:2607.15848,narayanan2026arithmetic,,2607.15848,Arithmetic circuit lower bounds from sumset expansion,Anand Kumar Narayanan,1,2026,arXiv,arXiv,other,0,algebraic-complexity; circuit-complexity; derandomization,3,cs.CC,candidate,,,arxiv,arxiv:circuit lower bound,0,2026-08-10,http://arxiv.org/abs/2607.15848v1,https://arxiv.org/pdf/2607.15848v1,"Raz proposed a program to prove arithmetic circuit lower bounds through the explicit construction of elusive functions. These are polynomial maps from a low dimensional space to a high dimensional ambient space whose image is contained in no subvariety of low complexity. Here, complexity is prescribed in terms of the dimension and degree of parametric maps into the ambient space defining the subvariety. Elusive functions are abundant: finding explicit ones with parameters typical of generic polynomial maps implies Valiant's hypothesis that VP$\neq$VNP. But no such construction is known. Raz devised elusive functions with weaker parameters to derive explicit degree d polynomials in n variables requiring superlinear circuit size at depth $d=o(\log n)$. We present a new method to analyse and construct elusive functions, with coordinate maps restricted to monomials. To prove elusiveness, we identify a hitting set of points, each a tuple of roots of unity coupled based on the exponents of the monomial maps. Using Chebotarev's theorem on roots of unity, we show that for every low complexity subvariety, the function evaluated at some point in the hitting set eludes it. For this strategy to work, it suffices that the iterated sumset of a certain set of numbers (derived from the exponents) expands exponentially. We thus reduce open explicit construction problems in elusive functions to purely additive combinatorial ones, whose resolutions imply as yet unknown lower bounds. Informed by iterated sumset expansion, we devise new elusive functions. We construct explicit elusive curves of exponential degree, resolving an open problem posed by Garg, Makam, Oliveira, and Wigderson as a testament to the difficulty of elusiveness proofs. We improve Raz's superlinear bound quadratically (with circuit size to input size ratio as the metric) below $o(\log n/\log\log n)$ depths."
arxiv:2602.17942,carmosino2026convergent,,2602.17942,Convergent Gate Elimination and Constructive Circuit Lower Bounds,Marco Carmosino; Ngu Dang; Tim Jackman,3,2026,arXiv,arXiv,other,0,circuit-complexity,1,cs.CC,candidate,,,arxiv,arxiv:circuit lower bound,0,2026-08-10,http://arxiv.org/abs/2602.17942v1,https://arxiv.org/pdf/2602.17942v1,"Towards better understanding of gate elimination, the only method known that can prove complexity lower bounds for explicit functions against unrestricted Boolean circuits, this work contributes: (1) formalizing circuit simplifications as a convergent term graph rewriting system and (2) giving a simple and constructive proof of a classical lower bound using this system. First, we show that circuit simplification is a convergent term graph rewriting system over the DeMorgan and $\{\land, \lor, \oplus\}$ bases. We define local rewriting rules from Boolean identities such that every simplification sequence yields an identical final result (up to circuit isomorphism or bisimulation). Convergence enables rigorous reasoning about structural properties of simplified circuits without dependence on the order of simplification. Then, we show that there is \emph{no similar} convergent formalization of circuit simplification over the $U_2$ and $B_2$ bases. Then, we use our simplification system to give a constructive circuit lower bound, generalizing Schnorr's classical result that the XOR function requires $3(n - 1)$ gates to compute in the DeMorgan basis. A constructive lower bound $f \not\in C$ gives an algorithm (called a ""refuter"") that efficiently finds counter-examples for every $C$-circuit trying to compute the function $f$. Chen, Jin, Santhanam, and Williams showed that constructivity plays a central role in many longstanding open problems about complexity theory (FOCS 2021), so it is natural to ask for constructive circuit lower bounds from gate elimination arguments. This demonstrates how using convergent simplification can lead to shorter and more modular proofs of circuit lower bounds. Furthermore, until this work, no constructive lower bound had been proved via gate elimination."
arxiv:2607.09963,ren2026near,,2607.09963,Near-Maximum Circuit Lower Bounds for Exponential Time with Merlin-Arthur Queries,Hanlin Ren; Ryan Williams,2,2026,arXiv,arXiv,other,0,circuit-complexity; hardness-of-approximation,2,cs.CC,candidate,,,arxiv,arxiv:circuit lower bound,0,2026-08-10,http://arxiv.org/abs/2607.09963v1,https://arxiv.org/pdf/2607.09963v1,"We prove a near-maximum ($2^n / n$) circuit lower bound for the complexity class $\mathsf{E}^{\mathrm{pr}\mathsf{MA}}/_1$, corresponding to exponential time with access to a promise-$\mathsf{MA}$ oracle and one bit of advice. Our proof incorporates the iterative win-win paradigm (Chen--Lu--Oliveira--Ren--Santhanam, FOCS'23), the reduction from the Range Avoidance problem to circuit lower bounds (Jeřábek, Ann. Pure Appl. Log. '04; Korten, FOCS'21), and the PCP theorem. Crucial to our proof is the analysis of the complexity class $\mathsf{P}^\mathsf{NP}[{\textsf{#rounds}}=r, {\textsf{length}}=s]$, which is $\mathsf{P}^\mathsf{NP}$ with $r(n)$ adaptive rounds of $\mathsf{NP}$ queries, where each $\mathsf{NP}$ query has witness length $s(n)$."
arxiv:2607.02241,brand2026partition,,2607.02241,Partition Rank and Algebraic Circuit Lower Bounds,Cornelius Brand; Petteri Kaski; Jiaheng Wang,3,2026,arXiv,arXiv,other,0,algebraic-complexity; circuit-complexity,2,cs.CC; cs.DS,candidate,,,arxiv,arxiv:circuit lower bound,0,2026-08-10,http://arxiv.org/abs/2607.02241v2,https://arxiv.org/pdf/2607.02241v2,"Strassen's theory of bilinear complexity provides a mathematical characterization of the arithmetic complexity of primitives such as matrix multiplication via the rank of tensors. However, the connection to tensor rank is known to break down in higher degrees of multilinearity. In this work, we highlight an unexplored connection between a generalized notion of tensor rank, which can be defined in Naslund's framework of partition ranks (JCTA 2020), and multiplicative complexity. These partition ranks allow us to control the multiplicative complexity, and thus arithmetic complexity, in any constant degree of multilinearity from below, while recovering Strassen's seminal characterization in the bilinear case. This enables novel potential applications of the rank-based approaches to problems in fine-grained algorithms and complexity, such as the hyperclique conjecture of Lincoln-Williams-Vassilevska Williams (SODA 2018). Moreover, we exhibit connections to established notions of rank, such as tensor slice rank (in the sense of Tao and Sawin), as well as its symmetric variant. For computing the latter symmetric variant, we point out a simple NP-hardness proof, contrasting the rather involved NP-hardness proof for ordinary, non-symmetric tensor slice rank by Bläser et al. (SODA 2021)."
doi:10.1145/3778166,,10.1145/3778166,,Symmetric Exponential Time Requires Near-Maximum Circuit Size,Lijie Chen; Shuichi Hirahara; Zeyong Li; Hanlin Ren,4,2026,Journal of the ACM,JACM,target,0,circuit-complexity; structural,2,,candidate,,,crossref,snowball:forward:li2023symmetric,1,2026-08-10,https://doi.org/10.1145/3778166,,"We show that there is a language in \(\textsf{S}_2\textsf {E}\) (symmetric exponential time) that requires circuit complexity at least \(2^n/n\) on every input length. In particular, the above also implies the same near-maximum circuit lower bounds for \(\Sigma _2\textsf {E}\cap \Pi _2\textsf {E}\) and \(\mathsf {ZPE}^{\textsf {NP}}\) . Our proofs relativise. Previously, only “half-exponential” circuit lower bounds for the aforementioned complexity classes were known, and the smallest complexity class known to require exponential circuit complexity was \(\Delta _3\textsf {E}= \textsf {E}^{\Sigma _2\textsf{P}}\) (Miltersen, Vinodchandran, and Watanabe COCOON’99). Our circuit lower bounds are corollaries of an unconditional zero-error pseudodeterministic algorithm with an \(\textsf {NP}\) oracle that solves the Range Avoidance problem. This algorithm also implies unconditional pseudodeterministic \(\textsf {FZPP}^{\textsf {NP}}\) constructions for Ramsey graphs, rigid matrices, two-source extractors, linear codes, and \(\mathrm{K}^{\mathrm{poly}}\) -random strings with nearly optimal parameters."
doi:10.1007/978-981-96-0668-9_20,,10.1007/978-981-96-0668-9_20,,A Satisfiability Algorithm for Depth Two Circuits with a Sub-Quadratic Number of Symmetric and Threshold Gates,Suguru Tamaki,1,2025,Algorithmic Foundations for Social Advancement,,unknown,1,circuit-complexity,1,,candidate,,,crossref,snowball:forward:li2023symmetric; snowball:forward:kabanets2020algorithms,1,2026-08-10,https://doi.org/10.1007/978-981-96-0668-9_20,,"We consider depth 2 unbounded fan-in circuits with symmetric and linear threshold gates. We present a deterministic algorithm that, given such a circuit with n variables and m gates, counts the number of satisfying assignments in time $$2^{n-\Omega \left( \left( \frac{n}{\sqrt{m} \cdot \textrm{poly}(\log n)}\right) ^a\right) }$$ 2 n - Ω n m · poly ( log n ) a for some constant $$a>0$$ a > 0 . Our algorithm runs in time super-polynomially faster than $$2^n$$ 2 n if $$m=O(n^2/\log ^b n)$$ m = O ( n 2 / log b n ) for some constant $$b>0$$ b > 0 . Previously, such algorithms were only known for bounded depth circuits with linear threshold gates and a slightly super-linear number of wires [Impagliazzo-Paturi-Schneider, FOCS 2013 and Chen-Santhanam-Srinivasan, CCC 2016]. We also show that depth 2 circuits with $$O(n^2/\log ^b n)$$ O ( n 2 / log b n ) symmetric and linear threshold gates in total cannot compute an explicit function computable by a deterministic $$2^{O(n)}$$ 2 O ( n ) -time Turing machine with an NP oracle. Previously, even slightly super-linear lower bounds on the number of gates were not known until recently Kane and Williams [STOC 2016] showed that depth 2 linear threshold circuits with $$o(n^{3/2}/\log ^3 n)$$ o ( n 3 / 2 / log 3 n ) gates cannot compute an explicit function computable in linear time."
arxiv:2509.16824,lu2025frege,,2509.16824,AC^0[p]-Frege Cannot Efficiently Prove that Constant-Depth Algebraic Circuit Lower Bounds are Hard,Jiaqi Lu; Rahul Santhanam; Iddo Tzameret,3,2025,arXiv,arXiv,other,0,algebraic-complexity; circuit-complexity; proof-complexity,3,cs.CC,candidate,,,arxiv,arxiv:circuit lower bound,0,2026-08-10,http://arxiv.org/abs/2509.16824v1,https://arxiv.org/pdf/2509.16824v1,"We study whether lower bounds against constant-depth algebraic circuits computing the Permanent over finite fields (Limaye-Srinivasan-Tavenas, J. ACM 2025; Forbes, CCC 2024) are hard to prove in certain proof systems. We focus on a DNF formula that expresses that such lower bounds are hard for constant-depth algebraic proofs. Using an adaptation of the diagonalization framework of Santhanam and Tzameret (SIAM J. Comput. 2025), we show unconditionally that this family of DNF formulas does not admit polynomial-size propositional AC0[p]-Frege proofs infinitely often. This rules out the possibility that the DNF family is easy, and establishes that its status is either that of a hard tautology for AC0[p]-Frege or else unprovable (not a tautology). While it remains open whether the DNFs in question are tautologies, we provide evidence in this direction. In particular, under the plausible assumption that certain weak properties of multilinear algebra, specifically those involving tensor rank, do not admit short constant-depth algebraic proofs, the DNFs are tautologies. We also observe that several weaker variants of the DNF formula are provably tautologies, and we show that the question of whether the DNFs are tautologies connects to conjectures of Razborov (ICALP 1996) and Krajicek (J. Symb. Log. 2004). Our result has two additional features. (i) Existential depth amplification: the DNF formula is parameterised by a constant depth d bounding the depth of the algebraic proofs. We show that there exists some fixed depth d such that if there are no small depth-d algebraic proofs of certain circuit lower bounds for the Permanent, then there are no such small algebraic proofs in any constant depth. (ii) Necessity: we show that our result is a necessary step towards establishing lower bounds against constant-depth algebraic proofs, and more generally against any sufficiently strong proof system."
arxiv:2508.07619,hitchcock2025counting,,2508.07619,Counting Martingales for Measure and Dimension in Complexity Classes,John M. Hitchcock; Adewale Sekoni; Hadi Shafei,3,2025,arXiv,arXiv,other,0,average-case; circuit-complexity; counting-complexity; meta-complexity; quantum-complexity; space-complexity,6,cs.CC,candidate,,,arxiv,arxiv:minimum circuit size problem,0,2026-08-10,http://arxiv.org/abs/2508.07619v1,https://arxiv.org/pdf/2508.07619v1,"This paper makes two primary contributions. First, we introduce the concept of counting martingales and use it to define counting measures, counting dimensions, and counting strong dimensions. Second, we apply these new tools to strengthen previous circuit lower bounds. Resource-bounded measure and dimension have traditionally focused on deterministic time and space bounds. We use counting complexity classes to develop resource-bounded counting measures and dimensions. Counting martingales are constructed using functions from the #P, SpanP, and GapP complexity classes. We show that counting martingales capture many martingale constructions in complexity theory. The resulting counting measures and dimensions are intermediate in power between the standard time-bounded and space-bounded notions, enabling finer-grained analysis where space-bounded measures are known, but time-bounded measures remain open. For example, we show that BPP has #P-dimension 0 and BQP has GapP-dimension 0. As our main application, we improve circuit-size lower bounds. Lutz (1992) strengthened Shannon's classic $(1-ε)\frac{2^n}{n}$ lower bound (1949) to PSPACE-measure, showing that almost all problems require circuits of size $\frac{2^n}{n}\left(1+\frac{α\log n}{n}\right)$, for any $α< 1$. We extend this result to SpanP-measure, with a proof that uses a connection through the Minimum Circuit Size Problem (MCSP) to construct a counting martingale. Our results imply that the stronger lower bound holds within the third level of the exponential-time hierarchy, whereas previously, it was only known in ESPACE. We study the #P-dimension of classical circuit complexity classes and the GapP-dimension of quantum circuit complexity classes. We also show that if one-way functions exist, then #P-dimension is strictly more powerful than P-dimension."
doi:10.1145/3717823.3718224,,10.1145/3717823.3718224,,Maximum Circuit Lower Bounds for Exponential-Time Arthur Merlin,Lijie Chen; Jiatu Li; Jingxun Liang,3,2025,STOC '25: 57th Annual ACM Symposium on Theory of Computing,STOC,target,1,circuit-complexity; interactive-proofs,2,,candidate,,,crossref,snowball:forward:li2023symmetric,1,2026-08-10,https://doi.org/10.1145/3717823.3718224,,
