[05:49:31] 2/56 seeds have no DOI and cannot be expanded
[05:49:59] backward: 1315 unseen refs across 54 seeds with a DOI; 427 refs had no DOI
[05:50:20] backward: 1239 resolved, 90 new, 1148 filtered
[05:50:21] forward: lommen2026koat cited by 0 (0 in window), 0 resolved, 0 new
[05:50:22] forward: haak2026scalable cited by 0 (0 in window), 0 resolved, 0 new
[05:50:23] forward: lw2025compositional cited by 0 (0 in window), 0 resolved, 0 new
[05:50:24] forward: bouajjani2025data cited by 1 (1 in window), 0 resolved, 0 new
[05:50:25] forward: lopez2025polyregular cited by 0 (0 in window), 0 resolved, 0 new
[05:50:26] forward: parham2025quantum cited by 0 (0 in window), 0 resolved, 0 new
[05:50:27] forward: ascari2025turn cited by 0 (0 in window), 0 resolved, 0 new
[05:50:28] forward: somorjai2024bottoms cited by 5 (5 in window), 4 resolved, 0 new
[05:50:29] forward: frenkel2024efficient cited by 2 (2 in window), 2 resolved, 0 new
[05:50:30] forward: zilberstein2024probabilistic cited by 0 (0 in window), 0 resolved, 0 new
[05:50:31] forward: eilers2024verification cited by 6 (6 in window), 4 resolved, 1 new
[05:50:33] forward: elad2023infinite cited by 5 (5 in window), 5 resolved, 1 new
[05:50:36] forward: hsu2023bounded cited by 9 (9 in window), 8 resolved, 1 new
[05:50:37] forward: garciacontreras2023fast cited by 8 (8 in window), 8 resolved, 4 new
[05:50:39] forward: dreier2023first cited by 10 (10 in window), 10 resolved, 2 new
[05:50:40] forward: heckingharbusch2023formal cited by 1 (1 in window), 1 resolved, 0 new
[05:50:41] forward: felicissimo2023generic cited by 0 (0 in window), 0 resolved, 0 new
[05:50:42] forward: szab2023incrementalizing cited by 12 (12 in window), 11 resolved, 2 new
[05:50:45] forward: akshay2023mdps cited by 3 (3 in window), 3 resolved, 1 new
[05:50:48] forward: li2023symmetric cited by 12 (12 in window), 6 resolved, 0 new
[05:50:49] forward: chen2022constructive cited by 0 (0 in window), 0 resolved, 0 new
[05:50:51] forward: peng2021algebraic cited by 12 (12 in window), 11 resolved, 3 new
[05:50:54] forward: mahmood2021parameterised cited by 12 (12 in window), 9 resolved, 1 new
[05:50:57] forward: timany2021trillium cited by 13 (13 in window), 13 resolved, 3 new
[05:50:58] forward: kabanets2020algorithms cited by 4 (4 in window), 1 resolved, 0 new
[05:51:00] forward: schemmel2020symbolic cited by 13 (13 in window), 12 resolved, 1 new
[05:51:03] forward: finkbeiner2019model cited by 31 (31 in window), 30 resolved, 3 new
[05:51:06] forward: dosualdo2019tada cited by 9 (9 in window), 9 resolved, 1 new
[05:51:07] forward: ekici2019verifying cited by 1 (1 in window), 1 resolved, 0 new
[05:51:08] forward: kong2018delta cited by 12 (12 in window), 12 resolved, 3 new
[05:51:10] forward: dailler2018lightweight cited by 8 (8 in window), 8 resolved, 0 new
[05:51:11] forward: tonetta2017linear cited by 4 (4 in window), 4 resolved, 0 new
[05:51:13] forward: bozzelli2017complexity cited by 6 (6 in window), 5 resolved, 1 new
[05:51:14] forward: fijalkow2017semialgebraic cited by 5 (5 in window), 4 resolved, 1 new
[05:51:15] forward: subramanian2016solver cited by 4 (4 in window), 4 resolved, 0 new
[05:51:17] forward: daca2016array cited by 17 (17 in window), 15 resolved, 4 new
[05:51:20] forward: birkedal2016guarded cited by 16 (16 in window), 16 resolved, 0 new
[05:51:23] forward: zhang2016lightdp cited by 53 (50 in window), 49 resolved, 2 new
[05:51:26] forward: pham2016reasoning cited by 16 (16 in window), 16 resolved, 2 new
[05:51:27] forward: reynolds2016reasoning cited by 9 (9 in window), 9 resolved, 3 new
[05:51:29] forward: gajarsk2015model cited by 26 (26 in window), 21 resolved, 4 new
[05:51:30] forward: bansal2015deciding cited by 15 (15 in window), 11 resolved, 0 new
[05:51:31] forward: bakst2015predicate cited by 6 (6 in window), 6 resolved, 2 new
[05:51:32] forward: joshi2014property cited by 13 (13 in window), 13 resolved, 1 new
[05:51:33] forward: nguyen2014relatively cited by 27 (27 in window), 24 resolved, 4 new
[05:51:35] forward: bersani2013deciding cited by 10 (10 in window), 10 resolved, 1 new
[05:51:37] forward: huuck2013formal cited by 2 (2 in window), 2 resolved, 0 new
[05:51:38] forward: pous2013kleene cited by 31 (31 in window), 28 resolved, 1 new
[05:51:39] forward: chang2013modular cited by 16 (16 in window), 16 resolved, 0 new
[05:51:40] forward: hou2013proof cited by 11 (11 in window), 11 resolved, 3 new
[05:51:41] forward: madelaine2012complexity cited by 5 (5 in window), 5 resolved, 2 new
[05:51:42] forward: axelsson2010extended cited by 8 (8 in window), 8 resolved, 0 new
[05:51:43] forward: monniaux2009floating cited by 16 (16 in window), 16 resolved, 0 new
[05:52:09] forward: flum1999fixed cited by 105 (50 in window), 44 resolved, 8 new
[05:52:09] forward: 66 new, 422 filtered
[05:52:09] snowball added 156; library 3065: {'candidate': 3001, 'included': 56, 'excluded': 8}
