[03:00:46] 19/138 seeds have no DOI and cannot be expanded
[03:00:46] backward: no refs for zhao2026automated: HTTP 404 for https://api.crossref.org/works/10.1145/3832783.3834356?mailto=vietanh101003%40gmail.com
[03:00:46] backward: 2589 unseen refs across 119 seeds with a DOI; 1190 refs had no DOI
[03:01:24] backward: 2426 resolved, 17 new, 2405 filtered
[03:01:25] forward: moine2026separation cited by 0 (0 in window), 0 resolved, 0 new
[03:01:25] forward: liu2026axiomatic cited by 0 (0 in window), 0 resolved, 0 new
[03:01:25] forward: zhao2026automated cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: xu2026dependently cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: lommen2026koat cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: feng2026refinement cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: haak2026scalable cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: lw2025compositional cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: bouajjani2025data cited by 1 (1 in window), 0 resolved, 0 new
[03:01:26] forward: blicha2025golem cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: lotan2025implicit cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: beyer2025improvements cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: fijalkow2025monniaux cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: lopez2025polyregular cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: parham2025quantum cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: getachew2025relatively cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: ascari2025turn cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: beutner2025verifying cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: herrmann2025what cited by 0 (0 in window), 0 resolved, 0 new
[03:01:26] forward: somorjai2024bottoms cited by 5 (5 in window), 4 resolved, 0 new
[03:01:26] forward: frenkel2024efficient cited by 2 (2 in window), 2 resolved, 0 new
[03:01:28] forward: aguirre2024error cited by 12 (12 in window), 6 resolved, 1 new
[03:01:28] forward: hague2024parikh cited by 0 (0 in window), 0 resolved, 0 new
[03:01:28] forward: zilberstein2024probabilistic cited by 0 (0 in window), 0 resolved, 0 new
[03:01:28] forward: coutelier2024sat cited by 0 (0 in window), 0 resolved, 0 new
[03:01:30] forward: xia2024story cited by 3 (3 in window), 3 resolved, 0 new
[03:01:31] forward: haselwarter2024tachis cited by 4 (4 in window), 2 resolved, 0 new
[03:01:31] forward: bonnet2024twin cited by 0 (0 in window), 0 resolved, 0 new
[03:01:31] forward: eilers2024verification cited by 6 (6 in window), 3 resolved, 0 new
[03:01:31] forward: bruni2023correctness cited by 0 (0 in window), 0 resolved, 0 new
[03:01:32] forward: chen2023theory cited by 14 (14 in window), 11 resolved, 0 new
[03:01:32] forward: elad2023infinite cited by 5 (5 in window), 3 resolved, 0 new
[03:01:32] forward: hsu2023bounded cited by 9 (9 in window), 6 resolved, 0 new
[03:01:32] forward: je2023decisiona cited by 0 (0 in window), 0 resolved, 0 new
[03:01:32] forward: hsu2023efficient cited by 0 (0 in window), 0 resolved, 0 new
[03:01:32] forward: garciacontreras2023fast cited by 8 (8 in window), 4 resolved, 0 new
[03:01:32] forward: dreier2023first cited by 10 (10 in window), 8 resolved, 0 new
[03:01:32] forward: heckingharbusch2023formal cited by 1 (1 in window), 1 resolved, 0 new
[03:01:32] forward: felicissimo2023generic cited by 0 (0 in window), 0 resolved, 0 new
[03:01:32] forward: beutner2023hyperatl cited by 15 (15 in window), 10 resolved, 0 new
[03:01:32] forward: szab2023incrementalizing cited by 12 (12 in window), 9 resolved, 0 new
[03:01:32] forward: akshay2023mdps cited by 3 (3 in window), 2 resolved, 0 new
[03:01:33] forward: beutner2023second cited by 22 (22 in window), 17 resolved, 0 new
[03:01:33] forward: bajwa2023stack cited by 5 (5 in window), 1 resolved, 0 new
[03:01:33] forward: li2023symmetric cited by 12 (12 in window), 6 resolved, 0 new
[03:01:33] forward: blicha2023golem cited by 15 (15 in window), 12 resolved, 0 new
[03:01:35] forward: batz2022calculus cited by 26 (26 in window), 24 resolved, 0 new
[03:01:35] forward: chen2022constructive cited by 0 (0 in window), 0 resolved, 0 new
[03:01:41] forward: giesl2022improving cited by 11 (11 in window), 9 resolved, 0 new
[03:01:41] forward: paulsen2022linsyn cited by 0 (0 in window), 0 resolved, 0 new
[03:01:47] forward: frohn2022proving cited by 18 (18 in window), 16 resolved, 2 new
[03:01:49] forward: beutner2022software cited by 40 (40 in window), 28 resolved, 0 new
[03:01:49] forward: chatterjee2022sound cited by 0 (0 in window), 0 resolved, 0 new
[03:01:49] forward: peng2021algebraic cited by 12 (12 in window), 8 resolved, 0 new
[03:01:50] forward: poncedelen2021dartagnan cited by 9 (9 in window), 6 resolved, 0 new
[03:01:50] forward: boroujeni2021deductive cited by 0 (0 in window), 0 resolved, 0 new
[03:01:50] forward: eilers2021product cited by 0 (0 in window), 0 resolved, 0 new
[03:01:50] forward: matsushita2021rusthorn cited by 0 (0 in window), 0 resolved, 0 new
[03:01:51] forward: peyras2021sound cited by 4 (4 in window), 2 resolved, 0 new
[03:01:51] forward: moura2021lean cited by 0 (0 in window), 0 resolved, 0 new
[03:01:51] forward: timany2021trillium cited by 13 (13 in window), 9 resolved, 0 new
[03:01:51] forward: bonnet2021twin cited by 0 (0 in window), 0 resolved, 0 new
[03:01:51] forward: andrianov2021cpalockator cited by 9 (9 in window), 8 resolved, 0 new
[03:01:51] forward: kabanets2020algorithms cited by 4 (4 in window), 1 resolved, 0 new
[03:01:51] forward: pagel2020strong cited by 0 (0 in window), 0 resolved, 0 new
[03:01:51] forward: schemmel2020symbolic cited by 13 (13 in window), 11 resolved, 0 new
[03:01:51] forward: mathur2020what cited by 0 (0 in window), 0 resolved, 0 new
[03:01:51] forward: finkbeiner2019model cited by 31 (31 in window), 27 resolved, 0 new
[03:01:54] forward: albert2019resource cited by 14 (14 in window), 11 resolved, 1 new
[03:01:54] forward: dosualdo2019tada cited by 9 (9 in window), 5 resolved, 0 new
[03:01:54] forward: ekici2019verifying cited by 1 (1 in window), 1 resolved, 0 new
